"用户ID","特征","清洁效率","耗材","对比","时间"
"1007","82m²一居 | 独居白领 | 复合地板","覆盖率89%\n日均清扫58m²\n清扫区域：办公区+卧室","主刷寿命：剩余58天\nHEPA滤网：剩余62%","定时清扫使用率高于均值55%","2025-08"
"1003","65m²公寓 | 单身 | 木地板","覆盖率85%\n日均清扫45m²\n清扫区域：沙发底部（高度不足）","主刷寿命：剩余60天\nHEPA滤网：剩余40%","拖地功能使用率低于同类30%","2025-01"
"1009","135m²四居 | 三代同堂 | 地砖+实木","覆盖率87%\n日均清扫98m²\n清扫区域：老人房+儿童区","主刷寿命：剩余42天\nHEPA滤网：剩余58%","边角清洁覆盖率低于均值12%","2025-11"
"1002","110m²三居 | 三口之家 | 全屋地砖","覆盖率88%\n日均清扫92m²\n清扫区域：儿童房、餐厅","主刷寿命：剩余65天\nHEPA滤网：剩余58%","清扫频率高于均值40%","2025-02"
"1005","75m²一居 | 养宠家庭（猫） | 地砖+地板","覆盖率95%\n日均清扫60m²\n清扫区域：猫砂盆周边","主刷寿命：剩余70天\nHEPA滤网：剩余68%","宠物毛发处理效率高于均值42%","2025-04"
"1008","58m²单身公寓 | 租房 | 塑胶地板","覆盖率83%\n日均清扫41m²\n清扫区域：厨房+卫生间","主刷寿命：剩余35天\nHEPA滤网：剩余45%","耗材更换频率高于均值28%","2025-07"
"1001","89m²两居 | 情侣 | 瓷砖+木地板","覆盖率92%\n日均清扫68m²\n清扫区域：客厅、卧室","主刷寿命：剩余75天\nHEPA滤网：剩余65%","拖地使用率高于均值12%","2025-03"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率82%\n日均清扫110m²\n清扫区域：地毯深度除螨","主刷寿命：剩余55天\nHEPA滤网：剩余50%","毛发缠绕率高于同类55%","2025-09"
"1010","98m²两居 | 新婚夫妻 | 柔光砖","覆盖率93%\n日均清扫72m²\n清扫区域：全屋精细清扫","主刷寿命：剩余85天\nHEPA滤网：剩余72%","清洁耗时高于均值8%","2025-06"
"1006","95m²两居 | 老人居住 | 实木地板","覆盖率88%\n日均清扫70m²\n清扫区域：卧室、客厅","主刷寿命：剩余80天\nHEPA滤网：剩余75%","清扫频次低于均值20%","2025-05"
"1004","130m²大平层 | 二孩家庭 | 全屋地毯","覆盖率83%\n日均清扫115m²\n清扫区域：儿童活动区","主刷寿命：剩余40天\nHEPA滤网：剩余43%","毛发缠绕率高于同类58%","2025-12"
